info: Server is running on port 2000 || timestamp: 04-02-2024 3:12:18 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:47:51 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:49:6 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:49:55 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:53:20 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:53:36 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 3:53:36 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:53:48 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 3:53:48 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 3:54:4 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 3:54:4 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 4:42:5 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 4:42:5 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 6:57:46 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 6:57:46 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 6:58:51 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 6:58:51 PM 
info: Server is running on port undefined || timestamp: 04-02-2024 7:01:54 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:01:54 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:02:31 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:02:31 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:06:23 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:06:23 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:08:32 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:08:32 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:13:19 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:13:19 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:13:34 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:13:34 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:14:12 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:14:12 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:14:28 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:14:28 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:14:37 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:14:37 PM 
info: api hit || timestamp: 04-02-2024 7:14:41 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:15:19 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:15:19 PM 
info: api hit || timestamp: 04-02-2024 7:15:24 PM 
error: Cannot read properties of undefined (reading 'item') || timestamp: 04-02-2024 7:15:24 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:15:52 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:15:52 PM 
info: api hit || timestamp: 04-02-2024 7:15:56 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:21:0 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:21:0 PM 
info: api hit || timestamp: 04-02-2024 7:21:3 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:24:20 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:24:20 PM 
info: api hit || timestamp: 04-02-2024 7:24:32 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:41:56 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:41:56 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:43:17 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:43:17 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:43:29 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:43:29 PM 
info: api hit || timestamp: 04-02-2024 7:44:3 PM 
error: Cannot read properties of undefined (reading 'map') || timestamp: 04-02-2024 7:44:3 PM 
info: api hit || timestamp: 04-02-2024 7:44:23 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:45:3 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:45:3 PM 
info: api hit || timestamp: 04-02-2024 7:45:6 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:45:59 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:45:59 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:47:41 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:47:41 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:47:51 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:47:51 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:47:51 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:47:51 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:51:1 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:51:1 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:51:22 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:51:22 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:53:13 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:53:13 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 7:58:0 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 7:58:0 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:03:27 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:03:27 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:03:57 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:03:57 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:04:14 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:04:14 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:04:59 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:04:59 PM 
info: api hit || timestamp: 04-02-2024 8:05:6 PM 
error: index is not defined || timestamp: 04-02-2024 8:05:6 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:05:20 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:05:20 PM 
info: api hit || timestamp: 04-02-2024 8:05:23 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:05:39 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:05:39 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:06:11 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:06:11 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:06:58 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:06:58 PM 
info: api hit || timestamp: 04-02-2024 8:07:1 PM 
error: Converting circular structure to JSON
    --> starting at object with constructor 'MongoClient'
    |     property 's' -> object with constructor 'Object'
    |     property 'sessionPool' -> object with constructor 'ServerSessionPool'
    --- property 'client' closes the circle || timestamp: 04-02-2024 8:07:1 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:07:51 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:07:51 PM 
info: api hit || timestamp: 04-02-2024 8:07:57 PM 
error: Converting circular structure to JSON
    --> starting at object with constructor 'MongoClient'
    |     property 's' -> object with constructor 'Object'
    |     property 'sessionPool' -> object with constructor 'ServerSessionPool'
    --- property 'client' closes the circle || timestamp: 04-02-2024 8:07:57 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:09:23 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:09:23 PM 
info: api hit || timestamp: 04-02-2024 8:09:26 PM 
error: Converting circular structure to JSON
    --> starting at object with constructor 'MongoClient'
    |     property 's' -> object with constructor 'Object'
    |     property 'sessionPool' -> object with constructor 'ServerSessionPool'
    --- property 'client' closes the circle || timestamp: 04-02-2024 8:09:26 PM 
