info: Server is running on port 2000 || timestamp: 06-02-2024 9:58:41 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 9:58:41 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:00:16 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:00:16 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:00:20 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:00:20 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:00:36 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:00:36 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:01:5 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:01:5 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:01:57 AM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 10:01:58 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:02:17 AM 
error: Password cannot be empty || timestamp: 06-02-2024 10:02:17 AM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 10:02:17 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:02:26 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:02:27 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:02:54 AM 
error: bad auth : authentication failed || timestamp: 06-02-2024 10:02:55 AM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 10:02:55 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 10:03:3 AM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 10:03:4 AM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:04:34 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:04:34 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:04:34 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:10:39 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:10:39 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:10:39 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:11:2 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:11:2 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:11:2 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:11:7 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:11:7 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:11:7 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:11:13 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:11:13 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:11:13 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:11:33 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:11:33 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:11:33 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:11:42 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:11:42 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:11:42 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:12:43 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:12:43 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:12:43 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:13:40 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:13:40 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:13:40 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:14:50 PM 
error: querySrv ECONNREFUSED _mongodb._tcp.blog-cluster.n651ewo.mongodb.net || timestamp: 06-02-2024 9:14:50 PM 
error: DEV-Database connection unsuccessfull || timestamp: 06-02-2024 9:14:50 PM 
info: Server is running on port 2000 || timestamp: 06-02-2024 9:15:53 PM 
warn: DEV-Database connection Successfull || timestamp: 06-02-2024 9:15:53 PM 
