info: Fetching Post API hit.... || timestamp: 14-02-2024 10:07:57 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:07:57 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:07:57 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:07:57 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:08:52 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:08:52 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:08:52 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:08:52 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:08:59 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:08:59 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:08:59 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:08:59 AM 
info: Server is running on port 2000 || timestamp: 14-02-2024 10:09:40 AM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 10:09:40 AM 
info: Server is running on port 2000 || timestamp: 14-02-2024 10:10:4 AM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 10:10:5 AM 
info: Server is running on port 2000 || timestamp: 14-02-2024 10:14:26 AM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 10:14:26 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:34:51 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:34:51 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:34:51 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:34:51 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:43:45 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:43:46 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 10:43:46 AM 
info: Success in fetching data || timestamp: 14-02-2024 10:43:46 AM 
info: Server is running on port 2000 || timestamp: 14-02-2024 11:44:2 AM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 11:44:2 AM 
info: Server is running on port 2000 || timestamp: 14-02-2024 11:44:9 AM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 11:44:9 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 11:49:10 AM 
info: Success in fetching data || timestamp: 14-02-2024 11:49:10 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 11:49:10 AM 
info: Success in fetching data || timestamp: 14-02-2024 11:49:10 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 11:56:8 AM 
info: Success in fetching data || timestamp: 14-02-2024 11:56:8 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 11:56:9 AM 
info: Success in fetching data || timestamp: 14-02-2024 11:56:9 AM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:00:21 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:00:21 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:00:21 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:00:22 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:06:1 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:06:1 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:06:1 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:06:2 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 12:31:59 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 12:31:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:47:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:47:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:47:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:47:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:48:29 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:48:29 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 12:48:29 PM 
info: Success in fetching data || timestamp: 14-02-2024 12:48:29 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:16:22 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:16:22 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:16:22 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:16:22 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:19:23 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:19:23 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:19:23 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:19:23 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:21:51 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:21:52 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:21:52 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:21:52 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:23:39 PM 
info: Success in fetching data || timestamp: 14-02-2024 1:23:39 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 1:23:39 PM 
